PLAYER_ID,PLAYER_NAME,TEAM
1629723,John Konchar,MEM
1631222,Jake LaRavia,MEM
1630643,Jay Huff,MEM
1642530,Yuki Kawamura,MEM
203501,Tim Hardaway Jr.,DET
202699,Tobias Harris,DET
1631105,Jalen Duren,DET
1631093,Jaden Ivey,DET
1630595,Cade Cunningham,DET
1627736,Malik Beasley,DET
1630191,Isaiah Stewart,DET
1631323,Simone Fontecchio,DET
1641842,Ronald Holland II,DET
1631204,Marcus Sasser,DET
1642450,Daniss Jenkins,DET
1631111,Wendell Moore Jr.,DET
1630194,Paul Reed,DET
1631306,Cole Swider,DET
1631214,Alondes Williams,DET
1630174,Aaron Nesmith,IND
1627783,Pascal Siakam,IND
1626167,Myles Turner,IND
1629614,Andrew Nembhard,IND
1630169,Tyrese Haliburton,IND
1630164,James Wiseman,IND
204456,T.J. McConnell,IND
1630167,Obi Toppin,IND
1631097,Bennedict Mathurin,IND
1641716,Jarace Walker,IND
1642402,Enrique Freeman,IND
1641767,Ben Sheppard,IND
1642277,Johnny Furphy,IND
1631245,Quenton Jackson,IND
201949,James Johnson,IND
1629631,De'Andre Hunter,ATL
1630552,Jalen Johnson,ATL
203991,Clint Capela,ATL
1630700,Dyson Daniels,ATL
1629027,Trae Young,ATL
203992,Bogdan Bogdanović,ATL
1630168,Onyeka Okongwu,ATL
1642258,Zaccharie Risacher,ATL
1630249,Vít Krejčí,ATL
1631243,Mouhamed Gueye,ATL
1629726,Garrison Mathews,ATL
1626204,Larry Nance Jr.,ATL
1631223,David Roddy,ATL
1630811,Keaton Wallace,ATL
1627732,Ben Simmons,BKN
1629661,Cameron Johnson,BKN
1627827,Dorian Finney-Smith,BKN
1630560,Cam Thomas,BKN
203471,Dennis Schröder,BKN
1630592,Jalen Wilson,BKN
1641730,Noah Clowney,BKN
1629651,Nic Claxton,BKN
1630533,Ziaire Williams,BKN
1629003,Shake Milton,BKN
1630553,Keon Johnson,BKN
1641798,Jaylen Martin,BKN
1631213,Tyrese Martin,BKN
1641727,Dariq Whitehead,BKN
1642385,Cui Yongxi,BKN
1630567,Scottie Barnes,TOR
1630534,Ochai Agbaji,TOR
1627751,Jakob Poeltl,TOR
1641711,Gradey Dick,TOR
1630193,Immanuel Quickley,TOR
